Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Column 12;Column 13;Column 14;Column 15
27;RER;JOINVILLE-LE-PONT;3823443;A;;;;;Joinville-le-Pont;;;;;
39;RER;BOISSY-SAINT-LEGER;2482050;A;;;;;Boissy-Saint-Léger;;;;;
48;RER;ROBINSON;2007606;B;;;;;Sceaux;;;;;
53;RER;FONTENAY-AUX-ROSES;1115170;B;;;;;Fontenay aux roses;;;;;
55;RER;SAINT-REMY-LES-CHEVREUSE;974338;B;;;;;St-Rémy-Lès-Chevreuse;;;;;
2;Métro;SAINT-LAZARE;45879586;3;9;12;13;14;Paris;8;;;;
4;Métro;MONTPARNASSE-BIENVENUE;30359225;4;6;12;13;;Paris;14;;;;
8;Métro;LES HALLES;16128080;4;;;;;Paris;1;;;;
9;Métro;LA DEFENSE;15031139;1;;;;;Puteaux;;;;;
14;Métro;BELLEVILLE;11402348;2;11;;;;Paris;10;;;;
18;Métro;ESPLANADE DE LA DEFENSE;10317385;1;;;;;Puteaux;;;;;
19;Métro;STRASBOURG-SAINT-DENIS;10145616;4;8;9;;;Paris;2;;;;
21;Métro;GARE D'AUSTERLITZ;9438016;5;10;;;;Paris;13;;;;
17;Métro;BARBES-ROCHECHOUART;10856026;2;4;;;;Paris;18;;;;
34;Métro;HAVRE-CAUMARTIN;7356084;3;9;;;;Paris;9;;;;
31;Métro;BOBIGNY-PABLO PICASSO;7737626;5;;;;;Bobigny;;;;;
38;Métro;GAMBETTA;7095196;3;3bis;;;;Paris;20;;;;
39;Métro;MAIRIE DE CLICHY;7089241;13;;;;;Clichy;;;;;
50;Métro;CRIMEE;6175537;7;;;;;Paris;19;;;;
61;Métro;ANVERS;5890665;2;;;;;Paris;18;;;;
52;Métro;SAINT-PAUL;6158849;1;;;;;Paris;4;;;;
65;Métro;CONCORDE;5847907;1;8;12;;;Paris;8;;;;
54;Métro;SAINT-MANDE-TOURELLE;6099638;1;;;;;Saint Mandé;;;;;
68;Métro;PIGALLE;5589061;2;12;;;;Paris;18;;;;
66;Métro;REUILLY-DIDEROT;5765809;1;8;;;;Paris;12;;;;
85;Métro;PONT DE LEVALLOIS-BECON;5025588;3;;;;;Levallois-Perret;;;;;
81;Métro;HOCHE;5085421;5;;;;;Pantin;;;;;
